Part,Cust #,8/2/2021,8/9/2021,8/16/2021,8/23/2021,8/30/2021,9/6/2021,9/13/2021,9/20/2021,9/27/2021,10/4/2021,10/11/2021,10/18/2021,10/25/2021,11/1/2021,11/8/2021,11/15/2021,11/22/2021,11/29/2021,12/6/2021,12/13/2021,12/20/2021,12/27/2021,1/3/2022,1/10/2022
7M5257-707,U003,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25
7V1107-707,U044,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25
7V1100-707,U044,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25
7V1104-707,U044,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25
7V1117-707,U044,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25
7V1110-707,U044,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25
7V1114-707,U044,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25
7V1113-707,U044,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25
7V2117-707,U044,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25
7V2110-707,U044,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25
7V2114-707,U044,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25
7V2113-707,U044,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25,F25
A1557-202B,U006,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06
7M5227-707,C028,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06
7M5220-707,C028,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06
7M5224-707,C028,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06,F06
A1526-201B,U014,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51
7M5290-707,C029,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51
7M5294-707,C029,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51
7M5297-707,C029,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51
7M5300-707,C029,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51
7M5304-707,C029,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51
7M5307-707,C029,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51
7M5290-707,C033,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51
7M5294-707,C033,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51
7M5297-707,C033,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51
7M5320-707,C028,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51
7M5324-707,C028,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51
7M5327-707,C028,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51
7V2497-707,C028,F56,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51
7M5120-707,C007,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51
7M5121-707,C007,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51
7M5124-707,C007,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51
7M5390-707,C007,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51
7M5398-707,C007,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51,F51
7M5240-707,U013,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52
7M5240-707,C043,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52,F52
7M5090-707,C017,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54
7M5094-707,C017,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54
7M5370-707,C017,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54
7V1650-707,C017,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54
7V2650-707,C017,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54
7V1630-707,C017,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54
7V2630-707,C017,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54,F54
7V1520-707,C028,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55
7V1524-707,C028,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55
7V1527-707,C028,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55
7V2527-707,C028,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55
7V1490-707,C028,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56
7V2490-707,C028,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56
7V2494-707,C028,F56,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55
7V2780-707,C028,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56
7V2784-707,C028,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56
7V2787-707,C028,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56
7V1494-707,C028,F57,F57,F57,F57,F57,F57,F57,F57,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55
7V1497-707,C028,F57,F57,F57,F57,F57,F57,F57,F57,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55
7V1510-707,C028,F57,F57,F57,F57,F57,F57,F57,F57,F55,F55,F55,F55,F55,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56
7V1514-707,C028,F57,F57,F57,F57,F57,F57,F57,F57,F55,F55,F55,F55,F55,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56
7V1517-707,C028,F57,F57,F57,F57,F57,F57,F57,F57,F55,F55,F55,F55,F55,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56
7V1530-707,C028,F57,F57,F57,F57,F57,F57,F57,F57,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55
7V1534-707,C028,F57,F57,F57,F57,F57,F57,F57,F57,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55
7V1537-707,C028,F57,F57,F57,F57,F57,F57,F57,F57,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55
7V2510-707,C028,F57,F57,F57,F57,F57,F57,F57,F57,F55,F55,F55,F55,F55,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56
7V2514-707,C028,F57,F57,F57,F57,F57,F57,F57,F57,F55,F55,F55,F55,F55,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56
7V2517-707,C028,F57,F57,F57,F57,F57,F57,F57,F57,F55,F55,F55,F55,F55,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56,F56
7V2520-707,C028,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57
7V2524-707,C028,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57
7V2530-707,C028,F57,F57,F57,F57,F57,F57,F57,F57,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55
7V2534-707,C028,F57,F57,F57,F57,F57,F57,F57,F57,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55
7V2537-707,C028,F57,F57,F57,F57,F57,F57,F57,F57,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55,F55
7V1780-707,C028,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57
7V1784-707,C028,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57
7V1787-707,C028,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57,F57
7M5330-707,C028,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58
7M5334-707,C028,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58
7M5337-707,C028,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58
7M5344-707,C028,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58
7M5347-707,C028,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58
7V1610-707,C028,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58
7V1614-707,C028,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58
7V1616-707,C028,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58
7V1617-707,C028,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58
7V1624-707,C028,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58
7V1626-707,C028,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58
7V1627-707,C028,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58
7V2610-707,C028,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58
7V2614-707,C028,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58
7V2616-707,C028,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58
7V2617-707,C028,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58
7V2624-707,C028,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58
7V2626-707,C028,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58
7V2627-707,C028,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58,F58
7M5040-707,U066,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07
7M5067-707,U066,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07
7M5060-707,U066,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07
7M5064-707,U066,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07
7M5077-707,C029,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07
7M5074-707,C029,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07,F07
A0136,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V2497-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V2490-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V2494-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V2517-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V2510-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V2514-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V2500-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V2504-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V2507-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7M5297-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7M5290-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7M5294-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7M5317-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7M5310-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7M5314-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7M5307-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7M5300-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7M5304-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V1497-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V1490-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V1494-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V1517-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V1510-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V1514-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V1507-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V1500-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V1504-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V2524-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V2527-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V2520-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V2537-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V2550-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V2554-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V2557-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V2530-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V2534-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V2547-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V2540-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
7V2544-701,C029,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
