,Part No.,Cell,Cust,Tech,Vehicle,Customer Demand,QPC,,Pcs/ Changovr,Chgovrs/ Day,Time/ Chgovr,Total Chgovr Time,Chgovr Time/Line,Chgovr Time/Line/Pc,,# Online Assoc, # Offline Assoc , # ATL ,Shift Hours,PF&D Allow,1 Assoc,2 Assoc,3 Assoc,4 Assoc,5 Assoc,6 Assoc,7 Assoc
7V2388-707F60,7V2388-707,F60,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1380-707F60,7V1380-707,F60,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1388-707F60,7V1388-707,F60,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V2750-707F60,7V2750-707,F60,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V2758-708F60,7V2758-708,F60,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1750-707F60,7V1750-707,F60,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1758-707F60,7V1758-707,F60,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V2430-707F13,7V2430-707,F13,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1430-707F13,7V1430-707,F13,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V2430-707F16,7V2430-707,F16,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V2420-707F16,7V2420-707,F16,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1430-707F16,7V1430-707,F16,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1420-707F16,7V1420-707,F16,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
A1553-015BE05,A1553-015B,E05,,,,,,,0,0,83.2,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, , ,#DIV/0!,#DIV/0!,#DIV/0!, ,
A1553-140BE05,A1553-140B,E05,,,,,,,0,0,83.2,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, , ,#DIV/0!,#DIV/0!,#DIV/0!, ,
A1553-201BE05,A1553-201B,E05,,,,,,,0,0,83.2,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, , ,#DIV/0!,#DIV/0!,#DIV/0!, ,
A1560-201BF06,A1560-201B,F06,,,,,,,0,0,158.9,0.0,0.0,#DIV/0!,,2, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
A1562-138BF06,A1562-138B,F06,,,,,,,0,0,158.9,0.0,0.0,#DIV/0!,,2, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
A1564-457BF06,A1564-457B,F06,,,,,,,0,0,158.9,0.0,0.0,#DIV/0!,,2, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
A1572-201BF06,A1572-201B,F06,,,,,,,0,0,158.9,0.0,0.0,#DIV/0!,,2, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
A1574-138BF06,A1574-138B,F06,,,,,,,0,0,158.9,0.0,0.0,#DIV/0!,,2, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
A1576-457BF06,A1576-457B,F06,,,,,,,0,0,158.9,0.0,0.0,#DIV/0!,,2, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
7P0758-7020F06,7P0758-7020,F06,,,,,,,0,0,158.9,0.0,0.0,#DIV/0!,,2, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
7P0760-7020F06,7P0760-7020,F06,,,,,,,0,0,158.9,0.0,0.0,#DIV/0!,,2, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
7P0759-7020F06,7P0759-7020,F06,,,,,,,0,0,158.9,0.0,0.0,#DIV/0!,,2, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
7P0758-7040F06,7P0758-7040,F06,,,,,,,0,0,158.9,0.0,0.0,#DIV/0!,,2, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
7P0760-7040F06,7P0760-7040,F06,,,,,,,0,0,158.9,0.0,0.0,#DIV/0!,,2, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
7P0759-7040F06,7P0759-7040,F06,,,,,,,0,0,158.9,0.0,0.0,#DIV/0!,,2, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
7M5230-707F06,7M5230-707,F06,,,,,,,0,0,158.9,0.0,0.0,#DIV/0!,,2, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
7M5237-707F06,7M5237-707,F06,,,,,,,0,0,158.9,0.0,0.0,#DIV/0!,,2, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
7M5234-707F06,7M5234-707,F06,,,,,,,0,0,158.9,0.0,0.0,#DIV/0!,,2, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
53199-140BF06,53199-140B,F06,,,,,,,0,0,158.9,0.0,0.0,#DIV/0!,,2, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
53199-201BF06,53199-201B,F06,,,,,,,0,0,158.9,0.0,0.0,#DIV/0!,,2, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
53199-454BF06,53199-454B,F06,,,,,,,0,0,158.9,0.0,0.0,#DIV/0!,,2, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
A1557-Y2Y9F06,A1557-Y2Y9,F06,,,,,,,0,0,158.9,0.0,0.0,#DIV/0!,,2, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
A1557-202BF06,A1557-202B,F06,,,,,,,0,0,158.9,0.0,0.0,#DIV/0!,,2, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
7M5220-707F06,7M5220-707,F06,,,,,,,0,0,158.9,0.0,0.0,#DIV/0!,,2, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
7M5227-707F06,7M5227-707,F06,,,,,,,0,0,158.9,0.0,0.0,#DIV/0!,,2, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
7M5224-707F06,7M5224-707,F06,,,,,,,0,0,158.9,0.0,0.0,#DIV/0!,,2, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
A4050-015BF50,A4050-015B,F50,,,,,,,0,0,97.4,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
A4050-140BF50,A4050-140B,F50,,,,,,,0,0,97.4,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
A4050-201BF50,A4050-201B,F50,,,,,,,0,0,97.4,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
7M5324-707F50,7M5324-707,F50,,,,,,,0,0,97.4,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
7M5327-707F50,7M5327-707,F50,,,,,,,0,0,97.4,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
7M5320-707F50,7M5320-707,F50,,,,,,,0,0,97.4,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
A1526-201BF50,A1526-201B,F50,,,,,,,0,0,97.4,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
A1526-462BF50,A1526-462B,F50,,,,,,,0,0,97.4,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
7M5120-707F50,7M5120-707,F50,,,,,,,0,0,97.4,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
7M5124-707F50,7M5124-707,F50,,,,,,,0,0,97.4,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
7M5121-707F50,7M5121-707,F50,,,,,,,0,0,97.4,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
7M5294-707F51,7M5294-707,F51,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
7M5297-707F51,7M5297-707,F51,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
7M5290-707F51,7M5290-707,F51,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
7M5304-707F51,7M5304-707,F51,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
7M5307-707F51,7M5307-707,F51,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
7M5300-707F51,7M5300-707,F51,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
7M5190-707F51C015,7M5190-707,F51,C015,D12,-,0.00,-,,0,0,97.4,0.0,0.0,0.0,,4, 1.00 , 0.50 ,7.28,110%, ,21.18,10.43,6.26, , ,
7M5198-707F50,7M5198-707,F50,,,,,,,0,0,97.4,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
7M5390-707F50,7M5390-707,F50,,,,,,,0,0,97.4,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
7M5398-707F50,7M5398-707,F50,,,,,,,0,0,97.4,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
A4039-015BF51,A4039-015B,F51,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
A4039-140BF51,A4039-140B,F51,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
A4039-201BF51,A4039-201B,F51,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
A4041-015BF51,A4041-015B,F51,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
A4041-201BF51,A4041-201B,F51,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
A4043-015BF51C015,A4043-015B,F51,C015,D12,-,0.00,-,,0,0,103.7,0.0,0.0,0.0,,4, 1.00 , 0.50 ,7.28,110%, ,20.68,9.40,5.75,4.60, ,
A4043-140BF51C015,A4043-140B,F51,C015,D12,-,0.00,-,,0,0,103.7,0.0,0.0,0.0,,4, 1.00 , 0.50 ,7.28,110%, ,20.68,9.40,5.75,4.60, ,
A4043-201BF51C015,A4043-201B,F51,C015,D12,-,0.00,-,,0,0,103.7,0.0,0.0,0.0,,4, 1.00 , 0.50 ,7.28,110%, ,20.68,9.40,5.75,4.60, ,
A4042-015BF52,A4042-015B,F52,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,2, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
A4042-140BF52,A4042-140B,F52,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,2, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
A4042-201BF52,A4042-201B,F52,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,2, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
A4044-015BF52,A4044-015B,F52,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,2, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
A4044-201BF52,A4044-201B,F52,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,2, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
A4042-015BF51C015,A4042-015B,F51,C015,D12,-,0.00,-,,0,0,103.7,0.0,0.0,0.0,,4, 1.00 , 0.50 ,7.28,110%, ,25.68,11.81,6.58, , ,
A4042-140BF51C015,A4042-140B,F51,C015,D12,-,0.00,-,,0,0,103.7,0.0,0.0,0.0,,4, 1.00 , 0.50 ,7.28,110%, ,25.68,11.81,6.58, , ,
A4042-201BF51C015,A4042-201B,F51,C015,D12,-,0.00,-,,0,0,103.7,0.0,0.0,0.0,,4, 1.00 , 0.50 ,7.28,110%, ,25.68,11.81,6.58, , ,
A4044-015BF51C015,A4044-015B,F51,C015,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
A4044-201BF51C015,A4044-201B,F51,C015,D12,-,0.00,-,,0,0,103.7,0.0,0.0,0.0,,4, 1.00 , 0.50 ,7.28,110%, ,25.68,11.81,6.58, , ,
A4040-015BF51,A4040-015B,F51,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
A4040-201BF51,A4040-201B,F51,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
A4045-015BF51,A4045-015B,F51,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
A4045-201BF51,A4045-201B,F51,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
A4046-140BF51,A4046-140B,F51,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
A4046-015BF51,A4046-015B,F51,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
A4046-201BF51,A4046-201B,F51,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
A4038-201BF51,A4038-201B,F51,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
A4038-015BF51,A4038-015B,F51,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
A4038-140BF51,A4038-140B,F51,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
7V2520-707F53,7V2520-707,F53,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,3, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
7V2524-707F53,7V2524-707,F53,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,3, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
7V2527-707F53,7V2527-707,F53,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,3, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
7V2530-707F53,7V2530-707,F53,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,3, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
7V2534-707F53,7V2534-707,F53,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,3, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
7V2537-707F53,7V2537-707,F53,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,3, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
A4048-015BF51,A4048-015B,F51,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
A4048-201BF51,A4048-201B,F51,,,,,,,0,0,103.7,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, ,
7V1170-707F54C117,7V1170-707,F54,C117,D9CPF,-,0.00,-,,0,0,188.0,0.0,0.0,0.0,,4, 1.00 , 0.50 ,7.28,110%, ,29.83,14.74,7.87, , ,
7V2170-707F54C117,7V2170-707,F54,C117,D9CPF,-,0.00,-,,0,0,188.0,0.0,0.0,0.0,,4, 1.00 , 0.50 ,7.28,110%, ,29.83,14.74,7.87, , ,
7V1630-707F54,7V1630-707,F54,,,,,,,0,0,188.0,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
7V2630-707F54,7V2630-707,F54,,,,,,,0,0,188.0,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
7M5090-707F54,7M5090-707,F54,,,,,,,0,0,188.0,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
7M5094-707F54,7M5094-707,F54,,,,,,,0,0,188.0,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
A4043-201BF55,A4043-201B,F55,,,,,,,0,0,110.0,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
A4043-015BF55,A4043-015B,F55,,,,,,,0,0,110.0,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
A4043-140BF55,A4043-140B,F55,,,,,,,0,0,110.0,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V2520-707F55,7V2520-707,F55,,,,,,,0,0,110.0,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1530-707F55,7V1530-707,F55,,,,,,,0,0,110.0,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1534-707F55,7V1534-707,F55,,,,,,,0,0,110.0,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1537-707F55,7V1537-707,F55,,,,,,,0,0,110.0,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V2530-707F55,7V2530-707,F55,,,,,,,0,0,110.0,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V2534-707F55,7V2534-707,F55,,,,,,,0,0,110.0,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V2537-707F55,7V2537-707,F55,,,,,,,0,0,110.0,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V2510-707F56,7V2510-707,F56,,,,,,,0,0,110.0,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V2514-707F56,7V2514-707,F56,,,,,,,0,0,110.0,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V2517-707F56,7V2517-707,F56,,,,,,,0,0,110.0,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1490-707F57,7V1490-707,F57,,,,,,,0,0,110.0,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
A1524-012BIF1,A1524-012B,IF1,,,,,,,0,0,155.2,0.0,0.0,#DIV/0!,,2, -   , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!,#DIV/0!, , , ,
A1524-201BIF1,A1524-201B,IF1,,,,,,,0,0,155.2,0.0,0.0,#DIV/0!,,2, -   , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!,#DIV/0!, , , ,
A1524-462BIF1,A1524-462B,IF1,,,,,,,0,0,155.2,0.0,0.0,#DIV/0!,,2, -   , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!,#DIV/0!, , , ,
A1533-012BIF1,A1533-012B,IF1,,,,,,,0,0,155.2,0.0,0.0,#DIV/0!,,2, -   , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!,#DIV/0!, , , ,
A1533-201BIF1,A1533-201B,IF1,,,,,,,0,0,155.2,0.0,0.0,#DIV/0!,,2, -   , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!,#DIV/0!, , , ,
A1533-462BIF1,A1533-462B,IF1,,,,,,,0,0,155.2,0.0,0.0,#DIV/0!,,2, -   , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!,#DIV/0!, , , ,
7V1630-701CF9C017,7V1870-701,CF9,C017,B15,NHK,0.00,16,,0,0,30.0,0.0,0.0,0.0,,1, 0.50 , 0.50 ,7.28,110%,53.83,26.78,19.94,19.94, , ,
7V1630-701CF9C017,7V1874-701,CF9,C017,B15,NHK,0.00,16,,0,0,30.0,0.0,0.0,0.0,,1, 0.50 , 0.50 ,7.28,110%,53.83,26.78,19.94,19.94, , ,
7V1650-701CF9C017,7V1900-701,CF9,C017,B15,NHK,0.00,16,,0,0,30.0,0.0,0.0,0.0,,1, 0.50 , 0.50 ,7.28,110%,59.27,32.37,20.55,20.55, , ,
7V1650-701CF9C017,7V1904-701,CF9,C017,B15,NHK,0.00,16,,0,0,30.0,0.0,0.0,0.0,,1, 0.50 , 0.50 ,7.28,110%,59.27,32.37,20.55,20.55, , ,
7V2630-701CF9C017,7V2870-701,CF9,C017,B15,NHK,0.00,16,,0,0,30.0,0.0,0.0,0.0,,1, 0.50 , 0.50 ,7.28,110%,53.83,26.78,19.94,19.94, , ,
7V2630-701CF9C017,7V2874-701,CF9,C017,B15,NHK,0.00,16,,0,0,30.0,0.0,0.0,0.0,,1, 0.50 , 0.50 ,7.28,110%,53.83,26.78,19.94,19.94, , ,
7M5410-701CF1,7M5410-701,CF1,,,Ascent,60.00,15,,5,4,45.0,180.0,900.0,2.0,,3, 0.50 , 0.50 ,7.28,110%, , ,30.05,23.53, , ,
7M5414-701CF1,7M5414-701,CF1,,,Ascent,60.00,15,,5,4,45.0,180.0,900.0,2.0,,3, 0.50 , 0.50 ,7.28,110%, , ,30.05,23.53, , ,
7M9270-701CF1,7M9270-701,CF1,,,Ascent,322.00,8,,27,12,45.0,540.0,900.0,2.0,,4, 0.50 , 0.50 ,7.28,110%, , ,39.07,24.22, , ,
